,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
1204,867,"(5, 0.2, 0.8)",0.512848439396245,0.008623350360009071,0.008623350360009071
1205,2000,"(10, 1.1, 0.1)",0.5128090004421497,0.005155766277678014,0.005155766277678014
1206,876,"(5, 0.30000000000000004, 0.7000000000000001)",0.5127113024442245,0.006311836292966086,0.006311836292966086
1207,1631,"(8, 1.6, 0.2)",0.512645225896973,0.014029321474451826,0.014029321474451826
1208,936,"(5, 0.9, 0.7000000000000001)",0.5126376754162498,0.0068213516172060335,0.0068213516172060335
1209,878,"(5, 0.30000000000000004, 0.9)",0.5126292712676992,0.005971384671794603,0.005971384671794603
1210,1016,"(5, 1.7000000000000002, 0.7000000000000001)",0.5126095098932109,0.004948103205051463,0.004948103205051463
1211,847,"(5, 0.0, 0.8)",0.5125670741511547,0.004953538577125689,0.004953538577125689
1212,959,"(5, 1.1, 1.0)",0.512541154686169,0.010063927914182827,0.010063927914182827
1213,1511,"(8, 0.4, 0.2)",0.5125387139817381,0.00990172840465196,0.00990172840465196
1214,957,"(5, 1.1, 0.8)",0.5124596069302438,0.007821918481102731,0.007821918481102731
1215,1671,"(8, 2.0, 0.2)",0.5123949454638158,0.011287156897912223,0.011287156897912223
1216,978,"(5, 1.3, 0.9)",0.5123396694757407,0.009983829253487052,0.009983829253487052
1217,1601,"(8, 1.3, 0.2)",0.5123295027122124,0.005899111295578384,0.005899111295578384
1218,1048,"(5, 2.0, 0.9)",0.5122928799168147,0.006900997853226797,0.006900997853226797
1219,1571,"(8, 1.0, 0.2)",0.5122658308264244,0.009668339447301118,0.009668339447301118
1220,1047,"(5, 2.0, 0.8)",0.5122156061908734,0.007862373805539297,0.007862373805539297
1221,1292,"(7, 0.30000000000000004, 0.30000000000000004)",0.5121556151698258,0.006718429621269828,0.006718429621269828
1222,1183,"(6, 1.3, 0.4)",0.5121240634435864,0.006910790768852415,0.006910790768852415
1223,1028,"(5, 1.8, 0.9)",0.5120980066633812,0.0074489322952775595,0.0074489322952775595
1224,857,"(5, 0.1, 0.8)",0.5120800346683356,0.003206434784518043,0.003206434784518043
1225,1254,"(6, 2.0, 0.5)",0.51195761213801,0.006711936320455446,0.006711936320455446
1226,1244,"(6, 1.9000000000000001, 0.5)",0.511925582068195,0.0032572746764006127,0.0032572746764006127
1227,1282,"(7, 0.2, 0.30000000000000004)",0.5118746518399964,0.005383620933535901,0.005383620933535901
1228,1124,"(6, 0.7000000000000001, 0.5)",0.5117912878467952,0.012142602680085815,0.012142602680085815
1229,1432,"(7, 1.7000000000000002, 0.30000000000000004)",0.5117595916363691,0.005593428814114307,0.005593428814114307
1230,929,"(5, 0.8, 1.0)",0.5117421510901323,0.009107084275194022,0.009107084275194022
1231,1491,"(8, 0.2, 0.2)",0.5116795192040674,0.00459988560712034,0.00459988560712034
1232,899,"(5, 0.5, 1.0)",0.5116606268861729,0.007424665962773464,0.007424665962773464
1233,1029,"(5, 1.8, 1.0)",0.5113663317191103,0.006140588873630125,0.006140588873630125
1234,1204,"(6, 1.5, 0.5)",0.511345303632716,0.00713715273007064,0.00713715273007064
1235,1262,"(7, 0.0, 0.30000000000000004)",0.5113412011623621,0.006245262101523583,0.006245262101523583
1236,1064,"(6, 0.1, 0.5)",0.5113145225206123,0.003854638532362331,0.003854638532362331
1237,988,"(5, 1.4000000000000001, 0.9)",0.5113130465310092,0.005562293015343658,0.005562293015343658
1238,1591,"(8, 1.2000000000000002, 0.2)",0.51129618574945,0.006947898135788566,0.006947898135788566
1239,859,"(5, 0.1, 1.0)",0.5112617843486688,0.006472359742536717,0.006472359742536717
1240,927,"(5, 0.8, 0.8)",0.5112103588092258,0.009498712290156088,0.009498712290156088
1241,1194,"(6, 1.4000000000000001, 0.5)",0.5110216753188402,0.008508411031092738,0.008508411031092738
1242,1481,"(8, 0.1, 0.2)",0.5109705893900475,0.006532437130755518,0.006532437130755518
1243,1075,"(6, 0.2, 0.6)",0.5109479633529814,0.0059351148055164895,0.0059351148055164895
1244,1038,"(5, 1.9000000000000001, 0.9)",0.510940664500253,0.004437763400621779,0.004437763400621779
1245,1154,"(6, 1.0, 0.5)",0.5109176686669302,0.005145668337792576,0.005145668337792576
1246,1164,"(6, 1.1, 0.5)",0.5108561965512324,0.0043251982125157564,0.0043251982125157564
1247,979,"(5, 1.3, 1.0)",0.510831888381301,0.005566783742506136,0.005566783742506136
1248,1134,"(6, 0.8, 0.5)",0.510707134909922,0.011925504611227926,0.011925504611227926
1249,908,"(5, 0.6000000000000001, 0.9)",0.5107023853274892,0.004750669729652219,0.004750669729652219
1250,868,"(5, 0.2, 0.9)",0.5106679149321627,0.004398918703875923,0.004398918703875923
1251,1009,"(5, 1.6, 1.0)",0.5106381358148587,0.006715406962072779,0.006715406962072779
1252,1059,"(6, 0.0, 1.0)",0.5106271473455279,0.017605730908617865,0.017605730908617865
1253,1462,"(7, 2.0, 0.30000000000000004)",0.510542756125493,0.0037547994473223242,0.0037547994473223242
1254,1114,"(6, 0.6000000000000001, 0.5)",0.5103750249554745,0.0044501787677448425,0.0044501787677448425
1255,1392,"(7, 1.3, 0.30000000000000004)",0.5103250740366868,0.008372561409447398,0.008372561409447398
1256,1253,"(6, 2.0, 0.4)",0.5103239125209091,0.003924790551175698,0.003924790551175698
1257,1094,"(6, 0.4, 0.5)",0.5102754953678611,0.002256692967784556,0.002256692967784556
1258,968,"(5, 1.2000000000000002, 0.9)",0.510218283508348,0.004025478435095469,0.004025478435095469
1259,939,"(5, 0.9, 1.0)",0.5101912881538462,0.008356105733317371,0.008356105733317371
1260,1019,"(5, 1.7000000000000002, 1.0)",0.510140241088637,0.005539597110587423,0.005539597110587423
1261,1382,"(7, 1.2000000000000002, 0.30000000000000004)",0.5101164361408085,0.0035912254078434604,0.0035912254078434604
1262,1363,"(7, 1.0, 0.4)",0.5100106736183735,0.005626887405881493,0.005626887405881493
1263,1372,"(7, 1.1, 0.30000000000000004)",0.5099577154129531,0.004010408020351774,0.004010408020351774
1264,1026,"(5, 1.8, 0.7000000000000001)",0.5099173878403948,0.00348112239474774,0.00348112239474774
1265,1175,"(6, 1.2000000000000002, 0.6)",0.5098272456526365,0.004437110278487418,0.004437110278487418
1266,1039,"(5, 1.9000000000000001, 1.0)",0.509728587772603,0.0029518653452912194,0.0029518653452912194
1267,1224,"(6, 1.7000000000000002, 0.5)",0.5096857053893882,0.005979003241024204,0.005979003241024204
1268,918,"(5, 0.7000000000000001, 0.9)",0.5096495474804639,0.003586606981011345,0.003586606981011345
1269,848,"(5, 0.0, 0.9)",0.5095620508857823,0.005258132101781701,0.005258132101781701
1270,937,"(5, 0.9, 0.8)",0.509560544957539,0.004604115454046553,0.004604115454046553
1271,1074,"(6, 0.2, 0.5)",0.5094825966685815,0.010337719320547863,0.010337719320547863
1272,1104,"(6, 0.5, 0.5)",0.5094604436481014,0.005726729451878928,0.005726729451878928
1273,1322,"(7, 0.6000000000000001, 0.30000000000000004)",0.5094184901839272,0.004069675238973409,0.004069675238973409
